question,document
"Do you run live sessions or office hours for every module, or is everything just pre-recorded in the repo?",d65e05bd7a
"If I get stuck on a lesson, where should I ask questions and is there a specific way to do it?",d65e05bd7a
How do I find out when a live session is happening for this course?,d65e05bd7a
Is there any optional paid support with regular Zoom office hours for extra help?,d65e05bd7a
Are the main LLM Zoomcamp materials still free even if I don’t join the extra support community?,d65e05bd7a
Can I count my Bluesky posts as learning in public credits for this course?,dbf5369006
Are Bluesky updates accepted for the learning in public requirement?,dbf5369006
"If I post about the course on Bluesky, does that qualify for credits?",dbf5369006
Is Bluesky one of the platforms I can use to earn learning in public credits?,dbf5369006
Do course learning in public credits include posts made on Bluesky?,dbf5369006
What's the Telegram link for LLM Zoomcamp?,054f3fd58f
Where can I find the LLM Zoomcamp Telegram channel?,054f3fd58f
"Is there a Telegram channel for this course, and what is it used for?",054f3fd58f
Which chat should I join for course announcements in LLM Zoomcamp?,054f3fd58f
Should I use Telegram or Slack for technical questions in LLM Zoomcamp?,054f3fd58f
Why does the FAQ dataset I download have a different number of docs than the one shown in the video?,e2d595f23c
"If I run the notebook now, why do my RAG answers not match the course video exactly?",e2d595f23c
"Does a different FAQ snapshot mean my implementation is broken, or could the data have changed?",e2d595f23c
How can I reproduce the same RAG result from the recording instead of getting a different answer?,e2d595f23c
Why would the retrieved context change between my run and the lecture demo even when my code is the same?,e2d595f23c
The deadline already passed but the homework form is still open — can I still turn it in?,a9353fadfe
"If the submission page hasn’t closed yet, is it still okay to submit after the due date?",a9353fadfe
"Does a missed deadline automatically block homework submissions, or only when the form is closed?",a9353fadfe
I’m seeing the homework form open even though the deadline is over. Should I still submit my answers?,a9353fadfe
When is homework submission actually disabled — after the deadline or only after the form gets closed?,a9353fadfe
Is it possible to turn in homework after the deadline if I miss it?,cdc3b285e5
Do you ever give deadline extensions for homework in this course?,cdc3b285e5
"If the homework form is still open but the deadline passed, can I still submit it?",cdc3b285e5
Will missing one homework stop me from getting the certificate?,cdc3b285e5
"Does homework count toward the certificate, or is it only for the leaderboard?",cdc3b285e5
Will the name I enter for the certificate be visible online or shared with anyone else?,651ba06b34
"Does the certificate name also show up on the public leaderboard, or is that separate?",651ba06b34
Where do I change my public nickname versus the name that gets printed on the certificate?,651ba06b34
Can I keep my real name off the leaderboard but still have it on the certificate?,651ba06b34
What’s the difference between the display name and the certificate name in Edit Course Profile?,651ba06b34
Does the course certificate include how many hours the course took?,5cc511f85b
Will the certificate mention the total number of course hours anywhere?,5cc511f85b
"If I finish the course, does the certificate show course hours on it?",5cc511f85b
Is there a number of hours listed on the certificate for this course?,5cc511f85b
Can I see the total duration or hours of the course on the certificate?,5cc511f85b
Why doesn't the course start with LangChain instead of building everything from scratch first?,b7cdde6b25
"What’s the reason we’re learning prompting, retrieval, indexing, and evaluation before using a framework like LangChain?",b7cdde6b25
"Is LangChain skipped completely in this module, or just taught later after the basics?",b7cdde6b25
Why is it better to understand the core RAG pieces before moving to a higher-level tool?,b7cdde6b25
What’s the advantage of not relying on LangChain right away when building LLM apps?,b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run `responses.create`?,f5df151c59
What does the `OpenAI API Error: Insufficient credits` message mean in `responses.create`?,f5df151c59
Is it a credit issue if `responses.create` fails with an OpenAI error?,f5df151c59
How can I fix the error from OpenAI when calling `responses.create`?,f5df151c59
Why does my OpenAI `responses.create` request fail even though my code looks fine?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53
"Does OpenAI API actually have any free quota, or do I need to add a payment method first?",152af39a53
What should I do when the error says I exceeded my current quota and billing details are needed?,152af39a53
"If I add credits to my OpenAI account, do I also need to create a new API key afterward?",152af39a53
How can I check which model I’m allowed to use in responses.create so I don’t keep hitting this error?,152af39a53
How much money do I need to start using the OpenAI API for this course?,554d0eb78b
Will using the OpenAI API cost me a lot during the course?,554d0eb78b
What's the minimum recharge amount for OpenAI API credits?,554d0eb78b
"Is the API usage in this module basically cheap, or should I expect real costs?",554d0eb78b
How expensive is it to follow the course with the OpenAI API?,554d0eb78b
"Do I need to pay for the OpenAI API to finish the course homework, or are there free options I can use instead?",85384a18e5
"If I don't want to subscribe to OpenAI, what alternatives are recommended in the course materials?",85384a18e5
Can I complete all the homework in this course without paying for OpenAI API access?,85384a18e5
Where can I find the list of OpenAI API alternatives for the course?,85384a18e5
Is it okay to use low-cost or free LLM providers instead of OpenAI for the assignments?,85384a18e5
Why does the course use uv instead of pip and virtualenv?,f81dea8f7e
"Do I have to use uv for the setup, or can I stick with pip and virtualenv?",f81dea8f7e
"What makes uv better than using separate tools like pip, pyenv, and poetry?",f81dea8f7e
"Is uv just a replacement for pip, or does it handle virtualenv and Python versions too?",f81dea8f7e
Why are the lessons built around uv if the older Python tools still work?,f81dea8f7e
Why does my Jupyter notebook keep saying my OPENAI_API_KEY is missing?,86d99bbf21
Do I need python-dotenv to read my .env file in the notebook?,86d99bbf21
Where should I call load_dotenv() before creating the OpenAI client?,86d99bbf21
What should I install if the API key from .env isn't being picked up?,86d99bbf21
Could the problem be that my variable name in .env is not exactly OPENAI_API_KEY?,86d99bbf21
How do I keep my API keys in a .env file and load them in Python with python-dotenv?,233dabe430
What’s the easiest way to read OPENAI_API_KEY or GROQ_API_KEY from a .env file in my script?,233dabe430
Do I need to add .env to .gitignore when storing secret keys for the course project?,233dabe430
How do I install and use python-dotenv to load environment variables like GEMINI_API_KEY?,233dabe430
Can someone show a simple example of saving API keys in .env and getting them with os.getenv()?,233dabe430
"Can I switch to a different model or API provider for the homework, or do I have to use the one in the instructions?",ee43413718
"Is it okay to use Gemini, Groq, OpenRouter, Azure OpenAI, or even a local model instead of the suggested one?",ee43413718
"Do I need a paid API account to complete the assignment, or is the homework meant to work without one?",ee43413718
"If I use another LLM provider, what parts of the code might I need to change, like response parsing, tool schema, or tokenization?",ee43413718
Where can I find a list of OpenAI API alternatives that are acceptable for this course?,ee43413718
How can I set up Gemini in the Module 1 notebook if I want to use the OpenAI-style endpoint instead of the usual one?,0ae5c221b9
What do I need in my `.env` and client config to call a Google Gemini model from the course notebook?,0ae5c221b9
Is there a simple helper function example for sending prompts to Gemini through the OpenAI-compatible API?,0ae5c221b9
Why does the Module 1 code need changes when using Gemini with chat completions instead of the newer Responses API?,0ae5c221b9
What parts of the notebook usually break or need edits when I switch the course example to Gemini and tool calls?,0ae5c221b9
How do I get Pydantic structured output from Gemini if `responses.parse` isn’t available?,341f71f28c
What’s the OpenAI SDK way to parse Gemini chat output into a Pydantic model?,341f71f28c
Can I use `chat.completions.parse` with Gemini on the OpenAI-compatible endpoint?,341f71f28c
How do I define the schema so Gemini returns a list of FAQ questions as objects?,341f71f28c
What do I need to call so I can access `message.parsed` instead of manually parsing JSON?,341f71f28c
How do I get Ollama installed on my machine for the RAG module?,1d0b969028
What’s the quickest way to start Ollama and try Llama 3 locally?,1d0b969028
"After installing Ollama, how can I check that the local server is actually running?",1d0b969028
"Do I need a Python package for Ollama, and how do I use it in a small script?",1d0b969028
"Which installer should I download for macOS, Windows, or Linux to set up Ollama?",1d0b969028
How do I fix a connection refused error when I try to prompt my Ollama RAG setup in the homework?,c6fc2d4d11
My Ollama server seems down and I get connection refused — what command should I run to bring it back?,c6fc2d4d11
Is there a quick way to restart Ollama in the notebook if the RAG prompt starts failing with connection refused?,c6fc2d4d11
What should I do if I stopped the cell with ollama serve and now my prompts don’t work anymore?,c6fc2d4d11
I’m getting a refused connection error in Module 1 RAG when using Ollama; do I need to rerun or restart something?,c6fc2d4d11
Why does `tiktoken.encode()` give me a smaller token count than OpenAI’s API for the same chat prompt?,bf0403d21b
"In a `chat.completions.create()` request, what extra tokens does OpenAI add around each message?",bf0403d21b
Why can OpenAI report a few more tokens than the text I can actually see in my prompt?,bf0403d21b
"Are the differences in token count caused by chat formatting, newlines, or weird Unicode characters?",bf0403d21b
"If my prompt looks like 320 tokens locally, why might OpenAI bill it as 327 tokens instead?",bf0403d21b
How can I stop re-exporting my API key in every new terminal for the RAG project?,8b2f5e9d04
"Is there a good way to auto-load my .env file when I cd into a folder, without doing it by hand each time?",8b2f5e9d04
What should I use instead of constantly typing OPENAI_API_KEY in bash or zsh sessions?,8b2f5e9d04
"For a project setup, how do I make sure my secret key loads automatically but doesn’t get pushed to GitHub?",8b2f5e9d04
"If I’m using a Python script or Codespaces, what’s the easiest way to manage the API key safely?",8b2f5e9d04
How do I decide the best field weights in minsearch without just guessing?,87d4ea4e08
What’s a good way to tune search field weights for a RAG app and know they actually help?,87d4ea4e08
"Should I use trial and error for search weights, or is there a better evaluation method?",87d4ea4e08
How can I compare different field weight settings in a search engine using real examples?,87d4ea4e08
What metrics should I check when testing field weights for document retrieval?,87d4ea4e08
What’s the best way to clean documents before using them in RAG so retrieval works better?,649c280e6d
"Should I strip out things like repeated headers, footers, and HTML noise when preparing data for a RAG pipeline?",649c280e6d
"Do I need to keep metadata such as titles, dates, page numbers, or speaker names when chunking documents for RAG?",649c280e6d
"Is JSON required for storing RAG documents, or can I use another structured format as long as it’s easy to process?",649c280e6d
How do I chunk source text for RAG without losing important context or making retrieval worse?,649c280e6d
"In GitHub Codespaces, `uv` shows a ""failed to hardlink files"" warning — does that mean the install broke?",acf8fa5356
What should I do if `uv` can't hardlink files between its cache and the project in Codespaces?,acf8fa5356
How can I stop the `uv` hardlink warning just for my current terminal session?,acf8fa5356
Is there a way to make `UV_LINK_MODE=copy` stay on every time I open a new shell?,acf8fa5356
"If `uv` falls back to copying instead of hardlinking, is that actually okay or should I worry?",acf8fa5356
My code says dotenv is not recognized — what package do I need to install?,0bed1f48da
"How do I fix the ""dotenv"" import error in Python?",0bed1f48da
What should I add with uv if load_dotenv isn't available?,0bed1f48da
"Do I need python-dotenv for using load_dotenv(), and how do I install it?",0bed1f48da
"I'm getting a missing dotenv module, what's the right install command?",0bed1f48da
Can I do the course on my own machine instead of using Codespaces?,aa310de435
"Is Codespaces required, or can I use a local setup for the RAG module?",aa310de435
What do I need installed if I want to follow the course locally?,aa310de435
"Is it okay to skip Codespaces and just use Python, uv, Jupyter, and Docker on my laptop?",aa310de435
"If I run the course locally, do I need to keep track of my setup somehow?",aa310de435
"If I don’t commit my changes in Codespaces, are they still kept somewhere or do they disappear?",610ccb23c0
Where exactly is my code stored when I’m working in GitHub Codespaces?,610ccb23c0
"Is it safe to leave my work uncommitted in Codespaces, or should I push it often?",610ccb23c0
What happens to files in Codespaces if the environment gets stopped or deleted later?,610ccb23c0
Do I need to commit regularly in Codespaces even if the code is already saved in the VM?,610ccb23c0
Why does WSL2 say a model needs more system memory than is available even though my PC has enough RAM?,f3dd94f323
How can I give WSL2 more RAM so I can run the model?,f3dd94f323
Where do I put the .wslconfig file on Windows to change WSL2 memory limits?,f3dd94f323
"Do I need to restart WSL after editing .wslconfig, and how do I do that?",f3dd94f323
How can I check inside WSL whether the new memory limit was applied?,f3dd94f323
"Why does my GitHub Codespace keep getting stuck on ""Finishing up"" and how do I get it to reconnect?",830f3d2018
What should I try first if my Codespace won’t open after I stop and start it again?,830f3d2018
Is there a way to fix Codespaces by using the browser instead of the VS Code desktop app?,830f3d2018
"Why did my setup disappear after a rebuild or new Codespace, and is that normal?",830f3d2018
"If I have to delete or recreate the Codespace, how can I avoid losing my work?",830f3d2018
"Can I swap OpenAI for another LLM provider in this RAG module, or is the course locked to OpenAI?",c6ff9083c0
"If OpenAI is blocked where I live, what other APIs can I use with the course code?",c6ff9083c0
"Do I need to rewrite the whole notebook if I want to use Groq, OpenRouter, DeepSeek, or Gemini instead?",c6ff9083c0
Can I run the model on my own machine with Ollama or LM Studio and still follow the course?,c6ff9083c0
Is there a list of OpenAI alternatives or local model tools recommended for the course?,c6ff9083c0
How can I stop getting 429 errors from OpenAI when I run the notebook over lots of docs?,8e21752415
What’s the easiest way to make OpenAI retries handle temporary rate-limit errors without my code crashing?,8e21752415
"If I’m using threads or workers, how many should I keep so I don’t hit per-minute limits so fast?",8e21752415
Should I save embeddings or LLM outputs somewhere so rerunning the notebook doesn’t call the API again?,8e21752415
Is there a cheaper model or provider I can use for the course so I’m less likely to run into request limits?,8e21752415
How do I quickly inspect a full LLM API response to see where tool calls or token counts are hiding?,4a2c64c6e7
"If the response is a Pydantic object, what’s the easiest way to turn it into readable JSON in a notebook?",4a2c64c6e7
What should I print to figure out whether my provider puts token usage under `usage` or somewhere else?,4a2c64c6e7
How can I find the actual generated text in a response when the field names are different from OpenAI’s?,4a2c64c6e7
"When switching the course code to another LLM provider, what’s the best way to adapt the parsing without guessing the field names?",4a2c64c6e7
"Why does uv keep picking the virtualenv from my old project instead of the one in the folder I’m in now, and how do I make it use the right one?",91675fa206
What’s the best way to switch uv to the current project’s .venv when I have a bunch of different projects on my machine?,91675fa206
Do I need to deactivate my current environment before running uv venv in a new project directory?,91675fa206
How can I check that python is actually coming from the .venv inside the project I just opened?,91675fa206
"If uv seems stuck on the previous environment, what exact steps should I do to reset it and activate the correct one?",91675fa206
"Why does my package work in the Codespaces terminal but not in the Jupyter notebook, and how do I check which Python the notebook is using?",74486f4c87
"I installed a dependency in GitHub Codespaces, but my notebook says import error — is the kernel using a different environment?",74486f4c87
"What should I run in a notebook cell to see the interpreter path, and how do I match it with the environment from `uv pip list`?",74486f4c87
"After adding a Python package in the repo, imports still fail inside Jupyter. Do I need to switch the notebook kernel to `.venv`?",74486f4c87
"How can I tell if my Codespaces notebook is using the wrong Python environment, and what’s the fix after changing it?",74486f4c87
What exactly counts as a tool or function in agentic RAG?,c296ea5a21
"Is there really a difference between tools and functions, or are they basically the same thing?",c296ea5a21
When would the model choose to call a tool instead of answering directly?,c296ea5a21
"Can a tool be used for things like database lookups, API calls, or calculations?",c296ea5a21
How is tool use in agentic RAG different from the fixed retrieval step in basic RAG?,c296ea5a21
What free models can I use for tool calling in this module?,0d74a3616f
Does Groq have any free LLMs that support tools or function calls?,0d74a3616f
"Which models support tool use without paying, maybe for development only?",0d74a3616f
Can I use Deepseek R1 or Llama 4 with tools for free?,0d74a3616f
"Besides Groq, what other providers or local models support tool calling?",0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I try `client.responses.create(...)` with a non-OpenAI model?,9e7b3f0c25
"Is `response.output` only for OpenAI, and what should I read instead if I’m using Mistral, Groq, or Gemini?",9e7b3f0c25
How can I change my code from the Responses API to the older chat completions API for another provider?,9e7b3f0c25
Do I need to rewrite my tools schema too when switching away from OpenAI’s Responses API?,9e7b3f0c25
"For the homework, is it okay to keep using `chat.completions` instead of the Responses API if my model provider works better with it?",9e7b3f0c25
"Why am I getting the Azure OpenAI error that says missing required parameter tools[0].function, and what should I change in my weather tool JSON?",b9c7c6bb34
How should I define get_weather_tool so Azure OpenAI accepts it without the 400 invalid_request_error?,b9c7c6bb34
My function calling setup in Module 1 fails with tools[0].function missing — can you show the correct JSON structure for the weather tool?,b9c7c6bb34
"What is the proper way to format the get_weather tool when using Azure OpenAI, including name, description, and parameters?",b9c7c6bb34
I copied my tool schema but still get a missing function error in Azure OpenAI. What does the get_weather_tool object need to look like?,b9c7c6bb34
Why do I get a 404 with toyaikit when I try Groq or some other non-OpenAI model?,0224d980b3
How can I make toyaikit work with Groq using an OpenAI-compatible chat completions setup?,0224d980b3
What should I switch to in toyaikit if I want Anthropic instead of OpenAI?,0224d980b3
"Do I need a special runner in toyaikit for Groq vs Anthropic, or is it the same idea?",0224d980b3
"Is runner.loop() the right way to run one prompt in code, and what does it return?",0224d980b3
Where do I actually find the Module 1 homework questions for the 2026 cohort?,53f15299b6
"Is the homework only on the course platform, or is there a GitHub page with the questions too?",53f15299b6
Can you share the link for the Module 1 homework instructions for 2026?,53f15299b6
I’m looking for the Module 1 cohort materials and homework details — where are they posted?,53f15299b6
"For homework submission, should I check GitHub, the course platform, or both?",53f15299b6
Why am I getting an empty list back after filtering my query in HW Q3?,83da208a64
Could this be caused by how I indexed the data for the homework?,83da208a64
Do I need to set the index settings before I load the documents?,83da208a64
"I can query the index, but my filters return nothing — what am I missing?",83da208a64
What should I check first if my search in Module 1 HW keeps coming back empty?,83da208a64
Why do I get a 402 error from OpenRouter when I call responses.create()?,cfb07a27d5
How can I stop OpenRouter from rejecting my request before the model even runs?,cfb07a27d5
What should I add to responses.create so my free key works with OpenRouter?,cfb07a27d5
"In rag_helper.py for module 1 homework, where do I set the output token limit?",cfb07a27d5
"For ToyAIKit in Q6, how do I pass max_output_tokens through OpenAIClient?",cfb07a27d5
"In the Module 1 homework, when people say to point RAG at the chunk index, does that mean I should search the split chunks instead of the full documents?",b4300adeb1
"For the homework RAG setup, should the index be built with `chunks` or with the original `documents`?",b4300adeb1
"If I already have `documents` and `chunks`, which one should I pass to `index.fit()` so the retriever works correctly?",b4300adeb1
Why does the homework say to use the chunked index rather than indexing the whole docs?,b4300adeb1
"When RAG retrieves info for the prompt, is it supposed to bring back only the matching chunks, not the full documents?",b4300adeb1
"For the homework, if my number isn’t exactly one of the choices, should I pick the nearest option or leave it blank?",5e4ca64cb5
"My result is a little off from the listed answers — is that okay, or do I need an exact match?",5e4ca64cb5
"What usually causes homework answers to differ slightly from the options, like rounding or dataset changes?",5e4ca64cb5
"If my answer is way different from every option, what should I check first before submitting?",5e4ca64cb5
"Do the homework instructions say I have to match the multiple-choice answers exactly, or is being close enough sometimes fine?",5e4ca64cb5
Where do I actually check the Module 1 homework details if the course page is confusing?,7d3a2e3505
"Should I rely on the GitHub homework instructions first, or is the platform page enough?",7d3a2e3505
"For the 2026 cohort, which links should I open to find the Module 1 materials and homework task?",7d3a2e3505
"Why does the homework seem different from the lesson, even though it uses the same topic?",7d3a2e3505
"If I still don't understand the assignment, how should I ask in Slack and what should I include?",7d3a2e3505
How do I check token counts for the Module 1 homework if I'm using a provider that's not OpenAI?,fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in this homework?",fe8fed31e6
Where should I look in the response to find the number of input tokens or prompt tokens?,fe8fed31e6
What should I do if my model provider doesn't give me any token usage info at all?,fe8fed31e6
"For the multiple-choice questions in this homework, what if my token count doesn't match any exact option?",fe8fed31e6
"Why is my homework repo link getting rejected with a non-200 error, and what should I check first?",bcdb8740ce
Do I need to make my GitHub repo public for the submission checker to access it?,bcdb8740ce
Should I submit the GitHub URL with or without the .git suffix for homework?,bcdb8740ce
How can I quickly test whether my repo URL is reachable by the checker?,bcdb8740ce
What are the usual reasons a homework submission URL returns 404 or 500?,bcdb8740ce
"What exactly are embeddings in vector search, and why do they matter for similarity search?",69430a79a8
How do embeddings turn text or other non-numeric data into numbers without losing meaning?,69430a79a8
Why should two similar inputs produce close vectors after embedding?,69430a79a8
How does embedding data help with semantic similarity algorithms in practice?,69430a79a8
"What’s the connection between embeddings, vector space models, and dimensionality reduction?",69430a79a8
How do I get rid of the warning about model multi-qa-mpnet-base-dot-v1 being made with sentence-transformers v3.0.0 beta?,aa3f597424
"Why am I seeing a message that this model was made on sentence-transformers v3, and how can I suppress it?",aa3f597424
Is there a way to stop the sentence-transformers version warning when loading multi-qa-mpnet-base-dot-v1?,aa3f597424
What version of sentence-transformers do I need to install to make that warning go away?,aa3f597424
"Can I fix the multi-qa-mpnet-base-dot-v1 warning by upgrading sentence-transformers, and what should I install?",aa3f597424
Why did the lesson use dot product directly for cosine similarity instead of normalizing first?,92cd22cada
"In the homework, why do we need to normalize vectors before using dot product?",92cd22cada
"Are the embeddings from the lesson already unit-length, and is that why dot product works there?",92cd22cada
Why doesn’t dot product equal cosine similarity for TF-IDF plus SVD embeddings unless we normalize them?,92cd22cada
"When should I assume dot product is enough, and when do I need to normalize embeddings first?",92cd22cada
"For this vector search task, do I need to embed just the answer text, the question text, or both together?",5c4a8d2e60
"Is there a best way to build embeddings here, or should I test different options on my own data?",5c4a8d2e60
Why would embedding only the answer still work for matching user queries?,5c4a8d2e60
Does embedding only the original question make sense if my search queries are phrased differently?,5c4a8d2e60
"Should I combine question and text into one input for embeddings, and how do I know if it's actually better?",5c4a8d2e60
What does cosine similarity actually measure when comparing two vectors?,db78580409
How do you use cosine similarity to compare two documents in text analysis?,db78580409
Why is cosine similarity based on the angle between vectors instead of their length?,db78580409
"What does it mean when cosine similarity is 1, 0, or -1?",db78580409
"In vector search, why is cosine similarity useful for word counts or TF-IDF vectors?",db78580409
Why does cosine similarity turn into just a dot product when the embeddings are normalized?,95feb4e75b
How does unit-length normalization make cosine similarity ignore vector magnitude?,95feb4e75b
Why can we use matrix multiplication to compute cosine similarity for all documents at once?,95feb4e75b
What is the connection between cosine similarity and the dot product in vector search?,95feb4e75b
"If all vectors are normalized, why does multiplying the embedding matrix by the query vector give the similarity scores?",95feb4e75b
"For Module 2, do I need to create a whole new GitHub repository, or is a fresh codespace enough?",1e829a8c6f
Why does the course recommend using a separate codespace for the vector search module instead of keeping everything in the old one?,1e829a8c6f
"If I start Module 2 in a new codespace, will it still come from my existing repo or do I have to set up another repo first?",1e829a8c6f
What should I do with my Module 2 work if I might delete the codespace later?,1e829a8c6f
Are the extra vector-search dependencies the reason I shouldn’t reuse my Module 1 codespace?,1e829a8c6f
Why does download.py stay stuck at 0% when it tries to get model.onnx from HuggingFace?,29b69fbe0b
Is there a way to bypass the script and grab model.onnx manually if the download keeps freezing?,29b69fbe0b
What should I do if the HuggingFace CDN seems blocked or painfully slow while downloading the ONNX model?,29b69fbe0b
"If I save model.onnx by hand, will download.py still try to fetch it again later?",29b69fbe0b
Where exactly should I place the downloaded model.onnx so the vector search code can find it?,29b69fbe0b
"Why do the dot product version and the loop version of vector search not match exactly, even though they should be the same?",e889793af9
"Is it normal for `np.allclose(scores, scores_loop)` to return `False` when I compare vector search results from a matrix multiply and a for-loop?",e889793af9
What causes tiny differences in the scores when I compute vector search with `X.dot(v_query)` versus looping through rows?,e889793af9
Should I worry if the BLAS-based vector search gives slightly different last digits than my Python loop implementation?,e889793af9
What's the right way to compare two vector search outputs when they only differ by a little bit?,e889793af9
Why am I getting IndexError: list index out of range when I try to access the best chunk?,1a7b27c4df
What causes the best chunk lookup to fail with an index out of range error in vector search?,1a7b27c4df
How do I fix the IndexError when my embeddings count doesn't match my chunks?,1a7b27c4df
Why is my similarity search returning an invalid chunk index after embedding the documents?,1a7b27c4df
What should I check if accessing the top matching chunk throws list index out of range?,1a7b27c4df
Why can FastEmbed still throw an SSL or network error at startup if the model is already cached locally?,6609b934b6
How do I make FastEmbed load a model completely offline after I’ve downloaded it once?,6609b934b6
Does FastEmbed need the cache folder to be the same inside the container and when I first downloaded the model?,6609b934b6
What’s the difference between using `cache_dir` with `local_files_only=True` and giving FastEmbed a `specific_model_path`?,6609b934b6
Can an incomplete Hugging Face cache make FastEmbed try the network again even when I expected it to stay offline?,6609b934b6
"For Module 2 Q2, my cosine similarity doesn’t match any choice — is this because I used the wrong embedding model?",eaa17a9dc6
"In the homework, are we supposed to use sentence-transformers, or the ONNX Embedder from embedder.py for the page vectors?",eaa17a9dc6
"Could my Q2 answer be off because I embedded the wrong thing, like the filename or full record instead of the content field?",eaa17a9dc6
"If the embedding vectors are already normalized, do I just use the dot product as cosine similarity for Q2?",eaa17a9dc6
What should I do if my cosine value is still a little different from the options even after using the correct model and query vector?,eaa17a9dc6
How should I export the Gemini API key so Kestra can actually use it in the flows?,3860e5fe8b
"Do I need both a normal Gemini key and a SECRET_GEMINI_API_KEY, or is one enough?",3860e5fe8b
What’s the right way to set OpenAI and Tavily secrets for the Kestra exercises?,3860e5fe8b
Why does Kestra want the API keys base64-encoded and prefixed with SECRET_?,3860e5fe8b
"After setting the env vars, do I need to restart Kestra, and how do I reference the secret inside a flow?",3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help create Kestra flows, and what setting am I missing?",04440cab11
Do I need to set a different environment variable for the Copilot than the one used by my Kestra flows?,04440cab11
"I already have a Gemini key for my flows, so why is the Copilot still refusing to answer?",04440cab11
What’s the right way to export the Gemini API key before starting Kestra with Docker Compose?,04440cab11
"Could this Copilot error be caused by a bad key, a typo, or hitting the Gemini free-tier limit?",04440cab11
Why does Kestra say my Gemini key is invalid or missing even though I exported SECRET_GEMINI_API_KEY?,c8ca21af33
